old_id,new_id,level
CD4 Naive,CD4 Naive,1
CD4 TCM_1,CD4 TCM,2
CD4 TCM_2,CD4 TCM,2
CD4 TCM_3,CD4 TCM,2
CD4 TEM_1,CD4 TEM,3
CD4 TEM_2,CD4 TEM,3
CD4 TEM_3,CD4 TEM,3
CD4 CTL,CD4 CTL,4
CD4 Proliferating,CD4 Proliferating,5
CD8 Naive,CD8 Naive,6
CD8 Naive_2,CD8 TEM,8
CD8 TCM_1,CD8 TCM,7
CD8 TCM_2,CD8 TCM,7
CD8 TEM_1,CD8 TEM,8
CD8 TEM_2,CD8 TEM,8
CD8 TEM_3,CD8 TEM,8
CD8 TEM_4,CD8 TEM,8
CD8 TEM_5,CD8 TEM,8
CD8 TEM_6,CD8 TEM,8
CD8 Proliferating,CD8 Proliferating,9
dnT,dnT,10
gdT,gdT,11
MAIT,MAIT,12
NK Proliferating,NK,13
NK_1,NK,13
NK_2,NK,13
NK_3,NK,13
NK_4,NK,13
NK_CD56bright,NK,13
Treg,Treg,14
